dataset: isotropic1024coarse, variable: velocity, time: 0.02, temporal method: none, spatial method: lag8, spatial operator: field						
time	x_point	y_point	z_point	ux	uy	uz
0.02	0.0	0.9	0.0	0.0828297808766365	-0.4201465845108032	-0.6133695840835571
0.02	0.0	0.9	0.007479982508547127	0.0565311461687088	-0.41009190678596497	-0.6532249450683594
0.02	0.0	0.9	0.014959965017094254	0.06549085676670074	-0.42544031143188477	-0.6820323467254639
0.02	0.0	0.9	0.02243994752564138	0.08386524766683578	-0.45347100496292114	-0.684186577796936
0.02	0.0	0.9	0.029919930034188507	0.0698218047618866	-0.5036932826042175	-0.6900802850723267
0.02	0.0	0.9	0.037399912542735635	0.10034741461277008	-0.5924440026283264	-0.7681646347045898
0.02	0.0	0.9	0.04487989505128276	0.149051234126091	-0.6320855021476746	-0.8549380302429199
0.02	0.0	0.9	0.05235987755982989	0.043560341000556946	-0.6692417860031128	-0.8994966149330139
0.02	0.0	0.9	0.059839860068377014	-0.10767566412687302	-0.7345479726791382	-0.9393294453620911
0.02	0.0	0.9	0.06731984257692414	-0.17410077154636383	-0.8157846927642822	-0.9869462251663208
0.02	0.0	0.9	0.07479982508547127	-0.15353375673294067	-0.8565945625305176	-1.010339617729187
0.02	0.0	0.9	0.0822798075940184	-0.10515838861465454	-0.8352469205856323	-0.9900556802749634
0.02	0.0	0.9	0.08975979010256552	-0.07155658304691315	-0.7875847816467285	-0.9456429481506348
0.02	0.0	0.9	0.09723977261111265	-0.06391274183988571	-0.7713170051574707	-0.9081939458847046
0.02	0.0	0.9	0.10471975511965978	-0.07155626267194748	-0.7814649939537048	-0.8737093210220337
0.02	0.0	0.9	0.1121997376282069	-0.09544835984706879	-0.8200251460075378	-0.8386484384536743
0.02	0.0	0.9	0.11967972013675403	-0.13598361611366272	-0.860423743724823	-0.799883246421814
0.02	0.0	0.9	0.12715970264530116	-0.17658032476902008	-0.9046655893325806	-0.7674175500869751
0.02	0.0	0.9	0.13463968515384828	-0.20267663896083832	-0.9493362903594971	-0.7498854398727417
0.02	0.0	0.9	0.14211966766239542	-0.21256284415721893	-0.985116720199585	-0.7461009621620178
0.02	0.0	0.9	0.14959965017094254	-0.2194468379020691	-1.0074487924575806	-0.7397713661193848
0.02	0.0	0.9	0.15707963267948966	-0.22603163123130798	-1.03129243850708	-0.7339456677436829
0.02	0.0	0.9	0.1645596151880368	-0.2325284481048584	-1.0553557872772217	-0.7249791026115417
0.02	0.0	0.9	0.17203959769658392	-0.24439285695552826	-1.0807814598083496	-0.7178860902786255
0.02	0.0	0.9	0.17951958020513104	-0.2619577646255493	-1.1087621450424194	-0.7148644328117371
0.02	0.0	0.9	0.18699956271367818	-0.28951942920684814	-1.1340757608413696	-0.7174432873725891
0.02	0.0	0.9	0.1944795452222253	-0.32478171586990356	-1.1571983098983765	-0.7202432155609131
0.02	0.0	0.9	0.20195952773077241	-0.36704516410827637	-1.1767566204071045	-0.7211576700210571
0.02	0.0	0.9	0.20943951023931956	-0.4035196602344513	-1.193969964981079	-0.7209447026252747
0.02	0.0	0.9	0.21691949274786668	-0.4300626814365387	-1.2030515670776367	-0.721007764339447
0.02	0.0	0.9	0.2243994752564138	-0.45855462551116943	-1.2121394872665405	-0.7102826833724976
0.02	0.0	0.9	0.23187945776496094	-0.4692300856113434	-1.217939853668213	-0.689207136631012
0.02	0.0	0.9	0.23935944027350806	-0.44007086753845215	-1.210797667503357	-0.6763849258422852
0.02	0.0	0.9	0.24683942278205517	-0.37652820348739624	-1.1815382242202759	-0.6830372214317322
0.02	0.0	0.9	0.2543194052906023	-0.30918774008750916	-1.1526706218719482	-0.7011087536811829
0.02	0.0	0.9	0.26179938779914946	-0.25337377190589905	-1.1437660455703735	-0.7197046279907227
0.02	0.0	0.9	0.26927937030769655	-0.212287038564682	-1.1512819528579712	-0.7295585870742798
0.02	0.0	0.9	0.2767593528162437	-0.18313279747962952	-1.1737090349197388	-0.7378895878791809
0.02	0.0	0.9	0.28423933532479084	-0.15661226212978363	-1.2041712999343872	-0.7464475035667419
